ID,Event Name,Event Start Date,Event Duration (minutes),Participants,,
175,Event 175,26/08/2023,225,18,,
176,Event 176,22/03/2023,122,10,,
177,Event 177,07/07/2023,217,6,,
178,Event 178,01/07/2023,236,52,,
179,Event 179,04/08/2023,225,28,,
180,Event 180,06/11/2023,161,92,,
181,Event 181,04/08/2023,157,98,,
182,Event 182,05/02/2023,77,90,,
183,Event 183,13/02/2023,75,52,,
184,Event 184,15/04/2023,228,62,,
185,Event 185,07/02/2023,214,50,,
186,Event 186,21/04/2023,84,7,,
187,Event 187,22/05/2023,64,96,,
188,Event 188,09/02/2023,157,60,,
189,Event 189,30/06/2023,72,19,,
190,Event 190,26/01/2023,238,74,,
191,Event 191,20/10/2023,84,84,,
192,Event 192,31/05/2023,86,58,,
193,Event 193,10/10/2023,165,90,,
194,Event 194,07/04/2023,150,89,,
195,Event 195,23/05/2023,152,28,,
196,Event 196,13/07/2023,92,30,,
197,Event 197,22/05/2023,123,18,,
198,Event 198,04/09/2023,90,60,,
199,Event 199,23/04/2023,77,74,,
200,Event 200,04/07/2023,174,73,,
201,Event 201,12/04/2023,166,79,,
202,Event 202,02/01/2023,72,55,,
203,Event 203,13/10/2023,100,52,,
204,Event 204,16/06/2023,134,15,,
205,Event 205,18/07/2023,218,10,,
206,Event 206,05/05/2023,212,50,,
207,Event 207,19/09/2023,173,23,,
208,Event 208,18/08/2023,182,12,,
209,Event 209,13/09/2023,212,69,,
210,Event 210,17/11/2023,215,91,,
211,Event 211,08/08/2023,72,19,,
212,Event 212,18/01/2023,136,42,,
213,Event 213,25/06/2023,201,1,,
214,Event 214,11/04/2023,153,80,,
215,Event 215,02/09/2023,94,37,,
216,Event 216,20/05/2023,42,23,,
217,Event 217,03/02/2023,153,21,,
218,Event 218,26/02/2023,122,18,,
219,Event 219,15/03/2023,208,91,,
220,Event 220,17/10/2023,97,99,,
221,Event 221,09/12/2023,220,83,,
222,Event 222,21/10/2023,109,76,,
223,Event 223,26/07/2023,179,61,,
224,Event 224,19/11/2023,45,93,,
225,Event 225,03/04/2023,96,81,,
226,Event 226,10/08/2023,89,14,,
227,Event 227,14/04/2023,98,69,,
228,Event 228,27/10/2023,234,6,,
229,Event 229,08/12/2023,198,67,,
230,Event 230,17/10/2023,203,60,,
231,Event 231,07/02/2023,68,8,,
232,Event 232,08/11/2023,39,83,,
233,Event 233,26/04/2023,54,48,,
234,Event 234,12/02/2023,139,3,,
235,Event 235,28/01/2023,76,74,,
236,Event 236,20/01/2023,216,53,,
237,Event 237,29/12/2023,185,27,,
238,Event 238,22/01/2023,99,65,,
239,Event 239,08/02/2023,126,29,,
240,Event 240,12/04/2023,54,66,,
241,Event 241,13/10/2023,120,14,,
242,Event 242,27/06/2023,61,13,,
243,Event 243,02/10/2023,190,97,,
244,Event 244,26/08/2023,188,98,,
245,Event 245,15/10/2023,214,9,,
246,Event 246,07/02/2023,212,34,,
247,Event 247,17/01/2023,193,85,,
248,Event 248,15/05/2023,155,13,,
249,Event 249,14/01/2023,130,64,,
250,Event 250,10/08/2023,233,85,,
251,event 251,14/02/2023,274,46,,-177
252,event 252,09/09/2022,396,168,,-158
253,event 253,31/07/2022,78,53,,-40
254,event 254,08/12/2021,209,129,,-235
255,event 255,28/12/2021,303,102,,20
256,event 256,18/06/2021,442,47,,-193
257,event 257,18/12/2020,141,122,,-182
258,event 258,08/07/2020,75,159,,-163
259,event 259,03/06/2020,357,143,,-35
260,event 260,18/05/2020,492,127,,-16
261,event 261,29/01/2020,400,119,,-110
262,event 262,03/12/2019,94,52,,-57
263,event 263,30/08/2019,329,149,,-95
264,event 264,03/11/2019,434,49,,65
265,event 265,22/10/2019,79,71,,-12
266,event 266,21/10/2019,84,130,,-1
267,event 267,02/12/2019,468,121,,42
268,event 268,13/01/2020,338,105,,42
269,event 269,27/02/2020,429,196,,45
270,event 270,12/07/2020,254,152,,136
271,event 271,23/09/2020,84,112,,73
272,event 272,22/10/2020,61,159,,29
273,event 273,28/01/2021,499,197,,98
274,event 274,28/05/2021,314,79,,120
275,event 275,25/06/2021,102,75,,28
276,event 276,16/06/2021,308,139,,-9
277,event 277,09/09/2021,279,89,,85
278,event 278,01/10/2021,336,135,,22
279,event 279,09/11/2021,155,146,,39
280,event 280,10/01/2022,192,87,,62
281,event 281,16/01/2022,372,184,,6
282,event 282,07/05/2022,143,197,,111
283,event 283,13/08/2022,201,141,,98
284,event 284,04/10/2022,265,125,,52
285,event 285,06/12/2022,222,152,,63
286,event 286,05/03/2023,302,197,,89
287,event 287,22/06/2023,225,162,,109
288,event 288,30/09/2023,341,108,,100
289,event 289,25/11/2023,177,105,,56
290,event 290,13/01/2024,499,96,,49
291,event 291,22/02/2024,404,71,,40
292,event 292,06/02/2024,216,87,,-16
293,event 293,03/02/2024,297,142,,-3
294,event 294,21/03/2024,276,67,,47
295,event 295,01/03/2024,279,85,,-20
296,event 296,20/02/2024,327,123,,-10
297,event 297,06/04/2024,389,160,,46
298,event 298,18/06/2024,293,157,,73
299,event 299,11/09/2024,456,150,,85
300,event 300,24/11/2024,144,102,,74
301,event 301,17/12/2024,308,59,,23
302,event 302,13/12/2024,376,62,,-4
303,event 303,21/11/2024,69,45,,-22
304,event 304,01/11/2024,248,98,,-20
305,event 305,10/11/2024,343,117,,9
306,event 306,09/12/2024,349,113,,29
307,event 307,18/01/2025,312,56,,40
308,event 308,18/01/2025,409,87,,0
309,event 309,06/02/2025,373,133,,19
310,event 310,30/04/2025,85,129,,83
311,event 311,03/06/2025,118,193,,34
312,event 312,19/09/2025,220,142,,108
313,event 313,13/11/2025,491,108,,55
314,event 314,06/01/2026,242,198,,54
315,event 315,05/05/2026,238,94,,119
316,event 316,29/05/2026,390,85,,24
317,event 317,13/06/2026,474,110,,15
318,event 318,26/07/2026,491,154,,43
319,event 319,29/10/2026,411,129,,95
320,event 320,04/01/2027,480,95,,67
321,event 321,05/01/2027,363,159,,1
322,event 322,11/04/2027,385,172,,96
323,event 323,10/07/2027,262,124,,90
324,event 324,15/09/2027,138,55,,67
325,event 325,01/09/2027,286,117,,-14
326,event 326,20/10/2027,351,179,,49
327,event 327,30/01/2028,358,47,,102
328,event 328,17/12/2027,156,139,,-44
329,event 329,13/03/2028,189,54,,87
330,event 330,04/03/2028,173,170,,-9
331,event 331,05/06/2028,450,185,,93
332,event 332,05/09/2028,155,80,,92
333,event 333,07/09/2028,341,93,,2
334,event 334,08/09/2028,436,47,,1
335,event 335,26/07/2028,170,78,,-44
336,event 336,14/07/2028,232,80,,-12
337,event 337,30/07/2028,140,48,,16
338,event 338,20/06/2028,345,178,,-40
339,event 339,17/09/2028,410,139,,89
340,event 340,12/12/2028,244,49,,86
341,event 341,09/12/2028,438,191,,-3
342,event 342,14/04/2029,192,178,,126
343,event 343,04/07/2029,299,81,,81
344,event 344,21/06/2029,410,103,,-13
345,event 345,23/07/2029,319,154,,32
346,event 346,26/09/2029,182,70,,65
347,event 347,18/09/2029,265,122,,-8
348,event 348,05/11/2029,111,197,,48
349,event 349,27/03/2030,232,106,,142
350,event 350,15/04/2030,365,163,,19
351,event 351,30/07/2030,373,200,,106
352,event 352,08/11/2030,244,56,,101
353,event 353,22/10/2030,158,138,,-17
354,event 354,08/01/2031,278,190,,78
355,event 355,11/05/2031,402,58,,123
356,event 356,18/04/2031,282,121,,-23
357,event 357,20/05/2031,181,131,,32
358,event 358,15/07/2031,354,171,,56
359,event 359,12/11/2031,126,186,,120
360,event 360,20/02/2032,62,110,,100
361,event 361,09/04/2032,345,97,,49
362,event 362,05/05/2032,266,115,,26
363,event 363,18/06/2032,232,48,,44
364,event 364,12/05/2032,486,167,,-37
365,event 365,20/08/2032,436,122,,100
366,event 366,28/10/2032,411,72,,69
367,event 367,05/10/2032,197,72,,-23
368,event 368,27/09/2032,472,52,,-8
369,event 369,13/09/2032,254,120,,-14
370,event 370,22/11/2032,293,72,,70
371,event 371,04/12/2032,307,112,,12
372,event 372,05/01/2033,371,167,,32
373,event 373,05/04/2033,401,71,,90
374,event 374,02/04/2033,108,177,,-3
375,event 375,03/08/2033,143,95,,123
376,event 376,14/08/2033,319,89,,11
377,event 377,08/09/2033,91,68,,25
378,event 378,15/09/2033,472,181,,7
379,event 379,12/12/2033,81,93,,88
380,event 380,10/12/2033,162,57,,-2
381,event 381,30/11/2033,324,55,,-10
382,event 382,25/11/2033,261,94,,-5
383,event 383,28/11/2033,332,119,,3
384,event 384,10/01/2034,478,119,,43
385,event 385,21/02/2034,307,142,,42
386,event 386,18/05/2034,376,149,,86
387,event 387,01/08/2034,84,136,,75
388,event 388,26/09/2034,116,107,,56
389,event 389,08/10/2034,141,114,,12
390,event 390,25/11/2034,375,93,,48
391,event 391,21/12/2034,380,125,,26
392,event 392,12/02/2035,483,149,,53
393,event 393,25/04/2035,98,122,,72
394,event 394,09/06/2035,337,83,,45
395,event 395,07/07/2035,356,165,,28
396,event 396,03/10/2035,281,152,,88
397,event 397,20/12/2035,172,81,,78
398,event 398,13/12/2035,276,174,,-7
399,event 399,05/04/2036,103,126,,114
400,event 400,14/05/2036,204,176,,39
401,event 401,12/08/2036,93,131,,90
402,event 402,23/10/2036,441,48,,72
403,event 403,11/09/2036,89,62,,-42
404,event 404,01/09/2036,196,142,,-10
405,event 405,24/10/2036,460,56,,53
406,event 406,11/09/2036,419,101,,-43
407,event 407,28/09/2036,241,59,,17
408,event 408,02/09/2036,321,174,,-26
409,event 409,13/12/2036,484,152,,102
410,event 410,01/03/2037,307,197,,78
411,event 411,08/07/2037,88,64,,129
412,event 412,26/06/2037,482,173,,-12
413,event 413,26/10/2037,305,54,,122
414,event 414,09/10/2037,192,151,,-17
415,event 415,07/01/2038,441,70,,90
416,event 416,07/01/2038,179,172,,0
417,event 417,01/04/2038,356,77,,84
418,event 418,15/04/2038,409,85,,14
419,event 419,04/04/2038,392,163,,-11
420,event 420,06/07/2038,450,142,,93
421,event 421,24/08/2038,427,102,,49
422,event 422,01/09/2038,90,131,,8
423,event 423,14/11/2038,336,148,,74
424,event 424,11/02/2039,193,103,,89
425,event 425,23/03/2039,132,81,,40
426,event 426,14/04/2039,223,141,,22
427,event 427,09/07/2039,172,159,,86
428,event 428,05/10/2039,272,182,,88
429,event 429,31/01/2040,147,186,,118
430,event 430,13/05/2040,243,124,,103
431,event 431,09/06/2040,129,115,,27
432,event 432,22/07/2040,322,83,,43
433,event 433,21/08/2040,246,128,,30
434,event 434,27/10/2040,152,77,,67
435,event 435,21/10/2040,210,157,,-6
436,event 436,21/12/2040,193,127,,61
437,event 437,20/01/2041,357,121,,30
438,event 438,17/02/2041,88,180,,28
439,event 439,07/06/2041,395,137,,110
440,event 440,25/08/2041,483,163,,79
441,event 441,20/11/2041,83,47,,87
442,event 442,07/10/2041,425,141,,-44
443,event 443,19/12/2041,326,132,,73
444,event 444,14/02/2042,299,94,,57
445,event 445,06/03/2042,225,110,,20
446,event 446,21/04/2042,165,141,,46
447,event 447,16/06/2042,349,199,,56
448,event 448,26/10/2042,276,170,,132
449,event 449,03/02/2043,495,60,,100
450,event 450,05/01/2043,210,156,,-29
451,event 451,07/04/2043,276,96,,92
452,event 452,05/05/2043,174,168,,28
453,event 453,21/08/2043,393,129,,108
454,event 454,28/09/2043,402,148,,38
455,event 455,22/12/2043,181,60,,85
456,event 456,23/12/2043,252,149,,1
457,event 457,24/03/2044,430,176,,92
458,event 458,15/07/2044,484,120,,113
459,event 459,31/08/2044,449,170,,47
460,event 460,25/12/2044,460,86,,116
461,event 461,19/12/2044,360,181,,-6
462,event 462,13/03/2045,94,92,,84
463,event 463,17/03/2045,420,68,,4
464,event 464,30/03/2045,327,88,,13
465,event 465,09/04/2045,496,105,,10
466,event 466,01/06/2045,200,70,,53
467,event 467,19/06/2045,411,120,,18
468,event 468,15/07/2045,178,58,,26
469,event 469,14/07/2045,294,120,,-1
470,event 470,26/08/2045,287,150,,43
471,event 471,20/11/2045,270,81,,86
472,event 472,02/11/2045,62,140,,-18
473,event 473,07/01/2046,134,55,,66
474,event 474,25/12/2045,309,60,,-13
475,event 475,27/12/2045,209,164,,2
476,event 476,11/03/2046,206,77,,74
477,event 477,03/03/2046,487,84,,-8
478,event 478,02/03/2046,195,48,,-1
479,event 479,09/01/2046,77,143,,-52
480,event 480,03/03/2046,259,58,,53
481,event 481,08/02/2046,251,103,,-23
482,event 482,02/03/2046,238,179,,22
483,event 483,25/05/2046,236,78,,84
484,event 484,07/06/2046,382,185,,13
485,event 485,14/09/2046,273,155,,99
486,event 486,21/11/2046,210,72,,68
487,event 487,21/11/2046,385,104,,0
488,event 488,14/01/2047,429,64,,54
489,event 489,19/12/2046,196,164,,-26
490,event 490,17/03/2047,89,163,,88
491,event 491,15/06/2047,280,111,,90
492,event 492,08/08/2047,279,146,,54
493,event 493,15/10/2047,479,77,,68
494,event 494,11/11/2047,207,131,,27
495,event 495,25/01/2048,390,113,,75
496,event 496,07/02/2048,80,100,,13
497,event 497,20/02/2048,136,92,,13
498,event 498,05/03/2048,150,140,,14
499,event 499,02/05/2048,145,103,,58
500,event 500,10/06/2048,263,166,,39
501,event 501,28/08/2048,194,62,,79
